Generación 1 : Individuo: k1: 0.6881781, k2: 6.16666164, k3: 5.3465582. Adecuación: 15992.8400756293
Generación 2 : Individuo: k1: 0.515128, k2: 3.10177359, k3: 2.10019825. Adecuación: 1387.51698486132
Generación 3 : Individuo: k1: 0.515128, k2: 3.10177359, k3: 2.10019825. Adecuación: 1387.51698486132
Generación 4 : Individuo: k1: 0.5236934, k2: 3.815991, k3: 3.13998747. Adecuación: 1178.1199241951
Generación 5 : Individuo: k1: 0.5236934, k2: 3.815991, k3: 3.13998747. Adecuación: 1178.1199241951
Generación 6 : Individuo: k1: 0.5236934, k2: 3.815991, k3: 3.13998747. Adecuación: 1178.1199241951
Generación 7 : Individuo: k1: 0.5236934, k2: 3.815991, k3: 3.13998747. Adecuación: 1178.1199241951
Generación 8 : Individuo: k1: 0.5688764, k2: 6.3036498, k3: 7.3805738. Adecuación: 1081.11559965185
Generación 9 : Individuo: k1: 0.5688764, k2: 6.3036498, k3: 7.3805738. Adecuación: 1081.11559965185
Generación 10 : Individuo: k1: 0.5550991, k2: 4.888776, k3: 5.333608. Adecuación: 958.627160304327
Generación 11 : Individuo: k1: 0.5550991, k2: 3.9277384, k3: 3.8722216. Adecuación: 463.713875948508
Generación 12 : Individuo: k1: 0.5550991, k2: 3.9277384, k3: 3.8722216. Adecuación: 463.713875948508
Generación 13 : Individuo: k1: 0.5550991, k2: 3.9277384, k3: 3.8722216. Adecuación: 463.713875948508
Generación 14 : Individuo: k1: 0.5573229, k2: 2.12278541, k3: 3.5892081. Adecuación: 383.362295581777
Generación 15 : Individuo: k1: 0.5573229, k2: 2.12278541, k3: 3.5892081. Adecuación: 383.362295581777
Generación 16 : Individuo: k1: 0.5573181, k2: 2.12278578, k3: 3.5892089. Adecuación: 383.318529156097
Generación 17 : Individuo: k1: 0.5573229, k2: 2.12278541, k3: 7.5892081. Adecuación: 241.823372694845
Generación 18 : Individuo: k1: 0.5573229, k2: 2.12278541, k3: 7.5892081. Adecuación: 241.823372694845
Generación 19 : Individuo: k1: 0.5573229, k2: 2.12278541, k3: 7.5892081. Adecuación: 241.823372694845
Generación 20 : Individuo: k1: 0.5573229, k2: 2.12278541, k3: 7.5892081. Adecuación: 241.823372694845
Generación 21 : Individuo: k1: 0.5573229, k2: 2.12278541, k3: 7.5892081. Adecuación: 241.823372694845
Generación 22 : Individuo: k1: 0.5573206, k2: 2.12278541, k3: 7.5892035. Adecuación: 241.815084784649
Generación 23 : Individuo: k1: 0.5573206, k2: 2.12278541, k3: 7.5892035. Adecuación: 241.815084784649
Generación 24 : Individuo: k1: 0.5573206, k2: 2.12278541, k3: 7.5892035. Adecuación: 241.815084784649
Generación 25 : Individuo: k1: 0.5516907, k2: 0.2825226, k3: 7.588893. Adecuación: 219.953427757831
Generación 26 : Individuo: k1: 0.5516907, k2: 0.2825226, k3: 7.588893. Adecuación: 219.953427757831
Generación 27 : Individuo: k1: 0.5516907, k2: 0.2825226, k3: 7.588893. Adecuación: 219.953427757831
Generación 28 : Individuo: k1: 0.5516907, k2: 0.2825226, k3: 7.588893. Adecuación: 219.953427757831
Generación 29 : Individuo: k1: 0.5516907, k2: 0.2825226, k3: 7.588893. Adecuación: 219.953427757831
Generación 30 : Individuo: k1: 0.5516907, k2: 0.2825226, k3: 7.588893. Adecuación: 219.953427757831
Generación 31 : Individuo: k1: 0.5516907, k2: 0.2825226, k3: 7.588893. Adecuación: 219.953427757831
Generación 32 : Individuo: k1: 0.5567156, k2: 2.13563524, k3: 0.13258055. Adecuación: 219.573512991956
Generación 33 : Individuo: k1: 0.5567156, k2: 2.13563524, k3: 0.13258055. Adecuación: 219.573512991956
Generación 34 : Individuo: k1: 0.5567156, k2: 2.13563524, k3: 0.13258055. Adecuación: 219.573512991956
Generación 35 : Individuo: k1: 0.5567156, k2: 2.13563524, k3: 0.13258055. Adecuación: 219.573512991956
Generación 36 : Individuo: k1: 0.5560943, k2: 1.6834184, k3: 0.6296242. Adecuación: 111.021635436941
Generación 37 : Individuo: k1: 0.5560943, k2: 1.6834184, k3: 0.6296242. Adecuación: 111.021635436941
Generación 38 : Individuo: k1: 0.5560943, k2: 1.6834184, k3: 0.6296242. Adecuación: 111.021635436941
Generación 39 : Individuo: k1: 0.5560943, k2: 1.6834184, k3: 0.6296242. Adecuación: 111.021635436941
Generación 40 : Individuo: k1: 0.5560943, k2: 1.6834184, k3: 0.6296242. Adecuación: 111.021635436941
Generación 41 : Individuo: k1: 0.5558324, k2: 1.6839452, k3: 0.6295608. Adecuación: 108.427586454905
Generación 42 : Individuo: k1: 0.5558324, k2: 1.6839452, k3: 0.6295608. Adecuación: 108.427586454905
Generación 43 : Individuo: k1: 0.5558324, k2: 1.6839452, k3: 0.6295608. Adecuación: 108.427586454905
Generación 44 : Individuo: k1: 0.5558324, k2: 1.6839452, k3: 0.6295608. Adecuación: 108.427586454905
Generación 45 : Individuo: k1: 0.5548453, k2: 1.6862676, k3: 0.6295817. Adecuación: 101.592356710332
Generación 46 : Individuo: k1: 0.5548453, k2: 1.6862676, k3: 0.6295817. Adecuación: 101.592356710332
Generación 47 : Individuo: k1: 0.5548453, k2: 1.6862676, k3: 0.6295817. Adecuación: 101.592356710332
Generación 48 : Individuo: k1: 0.5548453, k2: 1.6862676, k3: 0.6295817. Adecuación: 101.592356710332
Generación 49 : Individuo: k1: 0.5573556, k2: 3.6539228, k3: 0.5765917. Adecuación: 63.5295652996253
Generación 50 : Individuo: k1: 0.5573556, k2: 3.6539228, k3: 0.5765917. Adecuación: 63.5295652996253
Generación 51 : Individuo: k1: 0.5573556, k2: 3.6539228, k3: 0.5765917. Adecuación: 63.5295652996253
Generación 52 : Individuo: k1: 0.5573556, k2: 3.6539228, k3: 0.5765917. Adecuación: 63.5295652996253
Generación 53 : Individuo: k1: 0.5573556, k2: 3.6539228, k3: 0.5765917. Adecuación: 63.5295652996253
Generación 54 : Individuo: k1: 0.5573556, k2: 3.6539228, k3: 0.5765917. Adecuación: 63.5295652996253
Generación 55 : Individuo: k1: 0.5573556, k2: 3.6539228, k3: 0.5765917. Adecuación: 63.5295652996253
Generación 56 : Individuo: k1: 0.5573556, k2: 3.6539228, k3: 0.5765917. Adecuación: 63.5295652996253
Generación 57 : Individuo: k1: 0.5581697, k2: 3.6553324, k3: 0.5754657. Adecuación: 55.2009279891744
Generación 58 : Individuo: k1: 0.5581733, k2: 3.6553336, k3: 0.5752581. Adecuación: 53.4042897476026
Generación 59 : Individuo: k1: 0.5581733, k2: 3.6553336, k3: 0.5752581. Adecuación: 53.4042897476026
Generación 60 : Individuo: k1: 0.5581733, k2: 3.6553336, k3: 0.5752581. Adecuación: 53.4042897476026
Generación 61 : Individuo: k1: 0.5581323, k2: 3.655343, k3: 0.5752127. Adecuación: 52.719760126005
Generación 62 : Individuo: k1: 0.5581323, k2: 3.655343, k3: 0.5752127. Adecuación: 52.719760126005
Generación 63 : Individuo: k1: 0.5548965, k2: 2.3682033, k3: 0.5212101. Adecuación: 30.2439864303849
Generación 64 : Individuo: k1: 0.5549696, k2: 2.3677543, k3: 0.5221942. Adecuación: 20.8269974942358
Generación 65 : Individuo: k1: 0.5549696, k2: 2.3677543, k3: 0.5221942. Adecuación: 20.8269974942358
Generación 66 : Individuo: k1: 0.5549696, k2: 2.3677543, k3: 0.5221942. Adecuación: 20.8269974942358
Generación 67 : Individuo: k1: 0.5549696, k2: 2.3677543, k3: 0.5221942. Adecuación: 20.8269974942358
Generación 68 : Individuo: k1: 0.5549696, k2: 2.3677543, k3: 0.5221942. Adecuación: 20.8269974942358
Generación 69 : Individuo: k1: 0.5549696, k2: 2.3677543, k3: 0.5221942. Adecuación: 20.8269974942358
Generación 70 : Individuo: k1: 0.5549696, k2: 2.3677543, k3: 0.5221942. Adecuación: 20.8269974942358
Generación 71 : Individuo: k1: 0.5549696, k2: 2.3677543, k3: 0.5221942. Adecuación: 20.8269974942358
Generación 72 : Individuo: k1: 0.5549696, k2: 2.3677543, k3: 0.5221942. Adecuación: 20.8269974942358
Generación 73 : Individuo: k1: 0.5549696, k2: 2.3677543, k3: 0.5221942. Adecuación: 20.8269974942358
Generación 74 : Individuo: k1: 0.5549696, k2: 2.3677543, k3: 0.5221942. Adecuación: 20.8269974942358
Generación 75 : Individuo: k1: 0.5549696, k2: 2.3677543, k3: 0.5221942. Adecuación: 20.8269974942358
Generación 76 : Individuo: k1: 0.5549696, k2: 2.3677543, k3: 0.5221942. Adecuación: 20.8269974942358
Generación 77 : Individuo: k1: 0.5549696, k2: 2.3677543, k3: 0.5221942. Adecuación: 20.8269974942358
